stock,date,Negative_VADER,Neutral_VADER,Positive_VADER,returns,return_sign
amazon,2024-06-03,1.0,0.0,0.0,,0
amazon,2024-06-04,1.0,0.0,2.0,0.00560726713319748,1
amazon,2024-06-05,0.0,0.0,3.0,0.010817455564965828,1
amazon,2024-06-06,2.0,1.0,9.0,0.020520748266509736,1
amazon,2024-06-07,1.0,0.0,7.0,-0.003783767287795614,0
amazon,2024-06-11,2.0,0.0,2.0,0.0009087895389929823,1
amazon,2024-06-12,0.0,1.0,5.0,-0.0018159287809064173,0
amazon,2024-06-13,0.0,0.0,2.0,-0.016373254687715777,0
amazon,2024-06-14,0.0,0.0,2.0,-0.0009247574783878276,0
amazon,2024-06-17,0.0,0.0,2.0,0.002177904217078641,1
amazon,2024-06-18,1.0,2.0,1.0,-0.006791263808433312,0
amazon,2024-06-20,1.0,0.0,5.0,0.017996874289478493,1
amazon,2024-06-21,1.0,1.0,7.0,0.01601287280926522,1
amazon,2024-06-25,0.0,0.0,4.0,0.004149318226444709,1
amazon,2024-06-26,0.0,0.0,1.0,0.03901472799901873,1
amazon,2024-07-01,0.0,0.0,5.0,0.02043982896891161,1
amazon,2024-07-02,1.0,1.0,7.0,0.014198798656638534,1
amazon,2024-07-03,0.0,0.0,8.0,-0.012050018310546862,0
amazon,2024-07-05,0.0,0.0,3.0,0.012196992290986808,1
amazon,2024-07-08,0.0,3.0,2.0,-0.0035500335693359197,0
amazon,2024-07-09,2.0,0.0,1.0,0.0002509059834530092,1
amazon,2024-07-11,0.0,0.0,1.0,-0.023724863074531144,0
amazon,2024-07-12,0.0,0.0,1.0,-0.0028710461411536325,0
amazon,2024-07-15,0.0,0.0,2.0,-0.009100746683474936,0
amazon,2024-07-16,1.0,1.0,8.0,0.0015566783408964557,1
amazon,2024-07-17,3.0,0.0,22.0,-0.02637038381521739,0
amazon,2024-07-18,1.0,0.0,3.0,-0.022242286163404512,0
amazon,2024-07-19,2.0,2.0,6.0,-0.0033741230867346816,0
amazon,2024-07-22,0.0,0.0,8.0,-0.003167158934036185,0
amazon,2024-07-23,0.0,0.0,5.0,0.021144894800451786,1
amazon,2024-07-24,2.0,0.0,3.0,-0.029934025650088625,0
amazon,2024-07-25,1.0,1.0,3.0,-0.005419431054668911,0
amazon,2024-07-26,0.0,0.0,3.0,0.014734466536293178,1
amazon,2024-07-29,0.0,1.0,2.0,0.003835599716395466,1
amazon,2024-07-30,1.0,1.0,1.0,-0.008133134602594794,0
amazon,2024-07-31,2.0,0.0,6.0,0.029002194810164417,1
amazon,2024-08-01,0.0,1.0,1.0,-0.015563100170141508,0
amazon,2024-08-02,1.0,0.0,6.0,-0.0878470841762542,0
amazon,2024-08-05,0.0,0.0,4.0,-0.04097671157906757,0
amazon,2024-08-06,2.0,1.0,6.0,0.005651399696776416,1
amazon,2024-08-07,2.0,1.0,5.0,0.0051874985158653075,1
amazon,2024-08-08,0.0,0.0,3.0,0.018615215947435537,1
amazon,2024-08-09,4.0,1.0,4.0,0.00687575011257735,1
amazon,2024-08-19,0.0,0.0,1.0,0.006551472258579993,1
amazon,2024-08-20,0.0,0.0,2.0,0.003703308593809629,1
amazon,2024-08-21,1.0,0.0,3.0,0.006876093995775934,1
amazon,2024-08-22,1.0,0.0,2.0,-0.022097583221652117,0
amazon,2024-08-23,4.0,0.0,6.0,0.005166572293719973,1
amazon,2024-08-26,0.0,0.0,1.0,-0.00869856159361615,0
amazon,2024-08-27,0.0,0.0,3.0,-0.013561281383547064,0
amazon,2024-08-28,1.0,0.0,4.0,-0.013401063602498708,0
amazon,2024-08-29,0.0,0.0,1.0,0.007728290643119529,1
amazon,2024-08-30,1.0,0.0,0.0,0.037067191865004956,1
amazon,2024-09-03,2.0,1.0,1.0,-0.012605042016806678,0
amazon,2024-09-04,2.0,0.0,2.0,-0.016567365497562103,0
amazon,2024-09-05,3.0,1.0,4.0,0.026308183871355473,1
amazon,2024-09-06,2.0,0.0,5.0,-0.03653943460735232,0
amazon,2024-09-09,0.0,0.0,1.0,0.023396899008788496,1
amazon,2024-09-10,2.0,0.0,0.0,0.023660258265018275,1
amazon,2024-09-11,1.0,0.0,2.0,0.02768031821904482,1
amazon,2024-09-12,0.0,0.0,2.0,0.013440254011034547,1
amazon,2024-09-13,1.0,0.0,1.0,-0.0027272433520638684,0
amazon,2024-09-16,0.0,0.0,2.0,-0.008579580976924128,0
amazon,2024-09-17,1.0,4.0,13.0,0.010763186217390919,1
amazon,2024-09-18,0.0,1.0,5.0,-0.0024080275860086653,0
amazon,2024-09-19,5.0,1.0,4.0,0.01845197970580159,1
amazon,2024-09-20,1.0,0.0,1.0,0.009111555436973395,1
amazon,2024-09-23,1.0,0.0,0.0,0.011899784481557152,1
amazon,2024-09-24,1.0,0.0,3.0,0.0004126358007008335,1
amazon,2024-09-25,0.0,0.0,4.0,-0.007372694808574054,0
amazon,2024-09-26,2.0,1.0,4.0,-0.007115748848874004,0
amazon,2024-09-27,1.0,0.0,1.0,-0.016687603998192135,0
amazon,2024-09-30,0.0,0.0,1.0,-0.008724793206352333,0
amazon,2024-10-01,2.0,1.0,2.0,-0.006440170323887107,0
amazon,2024-10-02,0.0,0.0,1.0,-0.0019986515757441925,0
amazon,2024-10-03,1.0,0.0,2.0,-0.015154729791167831,0
amazon,2024-10-07,1.0,0.0,1.0,-0.03061493551686767,0
amazon,2024-10-08,5.0,0.0,12.0,0.010619458719785868,1
amazon,2024-10-09,4.0,0.0,3.0,0.013408477078997505,1
amazon,2024-10-10,0.0,1.0,3.0,0.007992632403596822,1
amazon,2024-10-11,0.0,1.0,1.0,0.011626110360002828,1
amazon,2024-10-15,0.0,0.0,1.0,0.0007998782160802964,1
amazon,2024-10-16,0.0,0.0,2.0,-0.004262363692000948,0
amazon,2024-10-21,0.0,0.0,1.0,0.0004233124965837831,1
amazon,2024-10-22,2.0,0.0,7.0,0.003332044214411578,1
amazon,2024-10-23,5.0,1.0,10.0,-0.026304640562205495,0
amazon,2024-10-24,1.0,0.0,3.0,0.009041189476714617,1
amazon,2024-10-25,0.0,0.0,2.0,0.007779788122410869,1
amazon,2024-10-28,0.0,0.0,2.0,0.002981406341556969,1
amazon,2024-10-29,0.0,0.0,1.0,0.012951868195294036,1
amazon,2024-10-31,0.0,0.0,2.0,-0.03284388507953562,0
amazon,2024-11-01,1.0,0.0,3.0,0.06185621865256041,1
amazon,2024-11-04,1.0,1.0,1.0,-0.01086239567545566,0
amazon,2024-11-05,4.0,0.0,5.0,0.0190009257528736,1
amazon,2024-11-06,2.0,2.0,9.0,0.038045094425516846,1
amazon,2024-11-07,0.0,1.0,5.0,0.01429333510169939,1
amazon,2024-11-08,0.0,1.0,1.0,-0.008902691496347037,0
amazon,2024-11-11,0.0,1.0,3.0,-0.006436720074140534,0
amazon,2024-11-12,0.0,0.0,7.0,0.010007771034946433,1
amazon,2024-11-13,0.0,1.0,3.0,0.024843245179395845,1
amazon,2024-11-14,0.0,0.0,4.0,-0.012237320417028852,0
amazon,2024-11-15,0.0,0.0,3.0,-0.041942478231440816,0
amazon,2024-11-18,1.0,1.0,4.0,-0.004491405455644082,0
amazon,2024-11-19,1.0,2.0,1.0,0.014427385751800914,1
amazon,2024-11-20,2.0,0.0,3.0,-0.00845508881471324,0
amazon,2024-11-21,0.0,1.0,3.0,-0.022180598835253806,0
amazon,2024-11-22,0.0,0.0,1.0,-0.006351495788949668,0
amazon,2024-11-25,0.0,0.0,2.0,0.021966324768223133,1
amazon,2024-11-26,0.0,2.0,3.0,0.03181932866326265,1
amazon,2024-11-27,0.0,2.0,5.0,-0.010199148999145757,0
amazon,2024-11-29,1.0,0.0,2.0,0.010450052683389277,1
amazon,2024-12-02,0.0,1.0,0.0,0.01356490130596999,1
amazon,2024-12-03,0.0,0.0,3.0,0.012956175029913197,1
amazon,2024-12-04,0.0,0.0,3.0,0.02211394849472459,1
amazon,2024-12-09,1.0,1.0,5.0,-0.004140432746599476,0
amazon,2024-12-10,0.0,1.0,7.0,-0.004644181824783544,0
amazon,2024-12-11,0.0,0.0,4.0,0.02319588240507109,1
amazon,2024-12-12,0.0,1.0,5.0,-0.0056023335225716675,0
amazon,2024-12-13,0.0,0.0,3.0,-0.006594726378065796,0
amazon,2024-12-16,0.0,0.0,5.0,0.024048121869595374,1
amazon,2024-12-17,3.0,1.0,4.0,-0.00764177579215608,0
amazon,2024-12-18,1.0,0.0,2.0,-0.045987410359975445,0
amazon,2024-12-19,1.0,1.0,2.0,0.012561168873593154,1
amazon,2024-12-20,1.0,0.0,8.0,0.00729994595290151,1
amazon,2024-12-23,0.0,0.0,1.0,0.0006224408269079884,1
amazon,2024-12-24,1.0,0.0,1.0,0.017728630305015702,1
amazon,2024-12-26,1.0,1.0,0.0,-0.00873171784917226,0
amazon,2024-12-27,2.0,0.0,1.0,-0.014534256804240364,0
amazon,2024-12-31,1.0,0.0,0.0,-0.008630834323407832,0
amazon,2025-01-02,0.0,0.0,2.0,0.003783225458606987,1
amazon,2025-01-03,1.0,0.0,3.0,0.018027432561515733,1
amazon,2025-01-06,0.0,0.0,4.0,0.015254909370185477,1
amazon,2025-01-07,1.0,0.0,5.0,-0.02416414035082548,0
amazon,2025-01-08,0.0,0.0,6.0,9.006470850470016e-05,1
amazon,2025-01-10,0.0,0.0,4.0,-0.014360970473526025,0
amazon,2025-01-13,0.0,1.0,0.0,-0.0021923619356289947,0
amazon,2025-01-14,1.0,0.0,1.0,-0.003204303696411115,0
amazon,2025-01-17,0.0,0.0,2.0,0.023928209424767255,1
amazon,2025-01-21,0.0,1.0,3.0,0.021111818274402117,1
amazon,2025-01-22,5.0,0.0,2.0,0.018638063663626525,1
amazon,2025-01-23,0.0,2.0,0.0,0.0017446222360446573,1
amazon,2025-01-27,0.0,0.0,1.0,0.0024270472668348475,1
amazon,2025-01-28,0.0,0.0,3.0,0.011596277923593856,1
amazon,2025-01-29,0.0,1.0,1.0,-0.004534900692607424,0
amazon,2025-01-31,0.0,0.0,1.0,0.012955989149507907,1
amazon,2025-02-03,3.0,1.0,3.0,-0.0010938846972727845,0
amazon,2025-02-04,1.0,0.0,2.0,0.019543422733693472,1
amazon,2025-02-05,2.0,1.0,5.0,-0.024332807771026643,0
amazon,2025-02-06,2.0,0.0,7.0,0.011263088803542765,1
amazon,2025-02-07,1.0,3.0,7.0,-0.04053095448794508,0
amazon,2025-02-13,0.0,1.0,1.0,0.006290143220533118,1
amazon,2025-02-18,2.0,0.0,3.0,-0.008877028355405714,0
amazon,2025-02-19,1.0,0.0,5.0,-8.819331220011328e-05,0
amazon,2025-02-20,0.0,0.0,1.0,-0.016546793977871843,0
amazon,2025-02-21,0.0,0.0,7.0,-0.028266344731418536,0
amazon,2025-02-25,0.0,0.0,3.0,0.000423094048469963,1
amazon,2025-02-26,0.0,0.0,1.0,0.007283848822975836,1
amazon,2025-02-27,0.0,0.0,1.0,-0.02617215045770671,0
amazon,2025-02-28,0.0,0.0,2.0,0.016958863624485065,1
amazon,2025-03-03,0.0,0.0,1.0,-0.034200087377916355,0
amazon,2025-03-04,1.0,0.0,5.0,-0.005950644792114046,0
amazon,2025-03-05,5.0,0.0,6.0,0.022374865016246748,1
amazon,2025-03-06,0.0,0.0,5.0,-0.03676331176651382,0
amazon,2025-03-07,0.0,0.0,5.0,-0.007224698407026442,0
amazon,2025-03-10,0.0,0.0,1.0,-0.02363867861413893,0
amazon,2025-03-12,0.0,0.0,1.0,0.011699491808345508,1
amazon,2025-03-13,2.0,0.0,3.0,-0.025139524437347016,0
amazon,2025-03-14,0.0,0.0,2.0,0.02093969555611075,1
amazon,2025-03-17,0.0,0.0,2.0,-0.01116439246854839,0
amazon,2025-03-18,2.0,0.0,2.0,-0.014917738259935254,0
amazon,2025-03-19,1.0,0.0,2.0,0.014106347155876442,1
amazon,2025-03-20,0.0,0.0,2.0,-0.003017266841301769,0
amazon,2025-03-21,2.0,0.0,0.0,0.006463245885351521,1
amazon,2025-03-24,0.0,0.0,1.0,0.03593082692897376,1
amazon,2025-03-25,0.0,0.0,1.0,0.012053587883713357,1
amazon,2025-03-26,3.0,0.0,6.0,-0.022264360904062586,0
amazon,2025-03-27,4.0,1.0,6.0,0.0011435177345771042,1
amazon,2025-03-28,0.0,0.0,4.0,-0.04290822091507418,0
amazon,2025-03-31,1.0,2.0,1.0,-0.012764667384211892,0
netflix,2024-06-04,0.0,1.0,1.0,-0.0034238201697512904,0
netflix,2024-06-06,1.0,1.0,0.0,-0.0026911897326306056,0
netflix,2024-06-07,2.0,2.0,3.0,-0.010870981027263804,0
netflix,2024-06-11,2.0,1.0,0.0,0.006283922099253214,1
netflix,2024-06-12,0.0,1.0,0.0,0.0023282858592961198,1
netflix,2024-06-13,3.0,2.0,1.0,0.004922641323953814,1
netflix,2024-06-14,0.0,5.0,0.0,0.024676231326284492,1
netflix,2024-06-17,1.0,0.0,0.0,0.009635800531807792,1
netflix,2024-06-18,0.0,1.0,0.0,0.014559823582095177,1
netflix,2024-06-20,0.0,0.0,1.0,-0.009683891345366513,0
netflix,2024-06-24,0.0,1.0,0.0,-0.024922718631770646,0
netflix,2024-06-25,0.0,1.0,1.0,0.005067043607538624,1
netflix,2024-06-26,1.0,0.0,0.0,0.00785239587120179,1
netflix,2024-06-27,0.0,0.0,5.0,0.009812782230969264,1
netflix,2024-07-08,0.0,1.0,1.0,-0.007109294152060741,0
netflix,2024-07-09,1.0,0.0,0.0,0.0,1
netflix,2024-07-10,1.0,0.0,6.0,-0.011797424585880512,0
netflix,2024-07-11,0.0,1.0,2.0,-0.03674466688847622,0
netflix,2024-07-12,0.0,0.0,1.0,-0.007889734835790918,0
netflix,2024-07-15,1.0,0.0,0.0,0.013665900177167734,1
netflix,2024-07-16,0.0,1.0,0.0,-0.00019804231913322923,0
netflix,2024-07-17,0.0,0.0,1.0,-0.013499489963263778,0
netflix,2024-07-18,0.0,1.0,1.0,-0.006826744193171419,0
netflix,2024-07-19,1.0,6.0,5.0,-0.015084522740921313,0
netflix,2024-07-22,0.0,0.0,1.0,0.02235761604210529,1
netflix,2024-07-23,1.0,3.0,0.0,-0.007320448238417043,0
netflix,2024-07-24,0.0,3.0,0.0,-0.010532732946031631,0
netflix,2024-07-25,0.0,2.0,0.0,-0.0029874108210509176,0
netflix,2024-07-26,0.0,0.0,1.0,-0.004289661756344376,0
netflix,2024-07-29,1.0,1.0,1.0,-0.006984768327029434,0
netflix,2024-07-30,0.0,0.0,1.0,-0.006986099159929426,0
netflix,2024-07-31,0.0,1.0,1.0,0.009267818332918232,1
netflix,2024-08-02,1.0,1.0,1.0,-0.01794024385931703,0
netflix,2024-08-05,0.0,0.0,1.0,-0.024591008564058603,0
netflix,2024-08-07,1.0,1.0,1.0,0.0031333122062802143,1
netflix,2024-08-08,0.0,1.0,0.0,0.030859546869747234,1
netflix,2024-08-09,0.0,1.0,0.0,0.005695291496016441,1
netflix,2024-08-12,0.0,1.0,0.0,-0.0012619298196798745,0
netflix,2024-08-13,0.0,1.0,0.0,0.02350191827802095,1
netflix,2024-08-15,1.0,1.0,1.0,0.0023273758378521414,1
netflix,2024-08-16,1.0,2.0,1.0,0.01635963496333037,1
netflix,2024-08-19,0.0,0.0,1.0,0.02145181036915833,1
netflix,2024-08-20,0.0,0.0,1.0,0.014538144023567012,1
netflix,2024-08-22,1.0,1.0,2.0,-0.011705263371709074,0
netflix,2024-08-27,1.0,0.0,1.0,0.010574586363229832,1
netflix,2024-08-28,0.0,2.0,2.0,-0.017075755114015045,0
netflix,2024-08-30,1.0,1.0,1.0,0.012809027506012871,1
netflix,2024-09-06,0.0,1.0,0.0,-0.02611096181128758,0
netflix,2024-09-09,0.0,0.0,2.0,0.014494439665067027,1
netflix,2024-09-11,0.0,2.0,1.0,0.01165341831127198,1
netflix,2024-09-13,1.0,1.0,0.0,0.014938861310402007,1
netflix,2024-09-17,0.0,3.0,3.0,0.014946120810525931,1
netflix,2024-09-18,2.0,1.0,1.0,-0.02325614726904557,0
netflix,2024-09-20,0.0,1.0,1.0,-0.004671140948902863,0
netflix,2024-09-23,2.0,1.0,2.0,0.006190841531660718,1
netflix,2024-09-24,2.0,0.0,0.0,0.02394490092484225,1
netflix,2024-09-25,1.0,1.0,0.0,-0.0009691969617124929,0
netflix,2024-09-26,4.0,1.0,0.0,-0.01403903336810175,0
netflix,2024-09-30,1.0,0.0,3.0,0.002714418621025727,1
netflix,2024-10-01,2.0,0.0,0.0,-0.004427107535875718,0
netflix,2024-10-02,0.0,1.0,0.0,0.007024233410785952,1
netflix,2024-10-03,2.0,0.0,0.0,-0.0060330463098619,0
netflix,2024-10-07,1.0,0.0,0.0,-0.024704778373354164,0
netflix,2024-10-08,1.0,2.0,0.0,0.028265368330464336,1
netflix,2024-10-09,3.0,0.0,1.0,0.007855773156505874,1
netflix,2024-10-10,0.0,1.0,0.0,0.003931629683074034,1
netflix,2024-10-11,0.0,2.0,2.0,-0.01026989309131554,0
netflix,2024-10-14,1.0,3.0,0.0,-0.01354470638077021,0
netflix,2024-10-15,0.0,0.0,2.0,-0.009845749693197736,0
netflix,2024-10-16,1.0,1.0,1.0,-0.005637525962290613,0
netflix,2024-10-17,1.0,0.0,1.0,-0.020441560663728597,0
netflix,2024-10-18,1.0,8.0,6.0,0.11087033742104224,1
netflix,2024-10-21,0.0,2.0,0.0,0.010708338267186202,1
netflix,2024-10-22,2.0,2.0,0.0,-0.010141589513340099,0
netflix,2024-10-23,3.0,0.0,1.0,-0.019561933944920118,0
netflix,2024-10-28,3.0,0.0,1.0,-0.007367357837167909,0
netflix,2024-10-29,2.0,1.0,2.0,0.013776173899355593,1
netflix,2024-10-30,1.0,4.0,1.0,-0.007505546440412902,0
netflix,2024-10-31,0.0,1.0,0.0,0.0030382347920638875,1
netflix,2024-11-01,0.0,1.0,0.0,9.251787144948231e-05,1
netflix,2024-11-05,0.0,0.0,1.0,0.01111826881223199,1
netflix,2024-11-06,1.0,0.0,0.0,0.021337656793546156,1
netflix,2024-11-07,0.0,1.0,0.0,0.020930205450834016,1
netflix,2024-11-08,0.0,2.0,0.0,-0.0018831446523435158,0
netflix,2024-11-11,0.0,0.0,1.0,0.013081133907086206,1
netflix,2024-11-12,0.0,2.0,4.0,0.01745629409512306,1
netflix,2024-11-13,0.0,6.0,1.0,0.013386175354636931,1
netflix,2024-11-14,1.0,2.0,1.0,0.00817614038079073,1
netflix,2024-11-15,0.0,1.0,3.0,-0.015885134412058965,0
netflix,2024-11-18,1.0,1.0,1.0,0.028023162780437483,1
netflix,2024-11-19,1.0,1.0,1.0,0.028652405266526015,1
netflix,2024-11-20,1.0,1.0,1.0,0.014380443644577356,1
netflix,2024-11-21,1.0,1.0,1.0,0.015421174700804396,1
netflix,2024-11-26,0.0,1.0,1.0,0.008098462913135318,1
netflix,2024-11-27,1.0,0.0,1.0,0.005432101079705376,1
netflix,2024-11-29,1.0,1.0,0.0,0.010793957203875548,1
netflix,2024-12-02,1.0,1.0,0.0,0.012325067044656413,1
netflix,2024-12-03,2.0,0.0,1.0,0.004934605480396037,1
netflix,2024-12-04,0.0,1.0,1.0,0.009854035067494493,1
netflix,2024-12-05,1.0,0.0,3.0,0.007474806902775688,1
netflix,2024-12-06,0.0,1.0,3.0,0.018379503858859225,1
netflix,2024-12-11,0.0,1.0,2.0,0.02541196977398119,1
netflix,2024-12-12,0.0,1.0,1.0,-0.01175579759366796,0
netflix,2024-12-13,0.0,1.0,0.0,-0.007217322417895633,0
netflix,2024-12-16,1.0,0.0,1.0,0.0024051519631722584,1
netflix,2024-12-17,1.0,1.0,4.0,-0.0021170931632978895,0
netflix,2024-12-18,0.0,1.0,0.0,-0.03218262588828791,0
netflix,2024-12-19,1.0,2.0,1.0,0.014040796364197083,1
netflix,2024-12-20,0.0,0.0,1.0,0.007771285016607621,1
netflix,2024-12-23,0.0,4.0,4.0,0.0026401456974762816,1
netflix,2024-12-24,0.0,0.0,1.0,0.022678131146331326,1
netflix,2024-12-26,1.0,2.0,0.0,-0.00856110855957637,0
netflix,2024-12-27,0.0,1.0,0.0,-0.017951854256392008,0
netflix,2024-12-30,0.0,0.0,1.0,-0.007845292505046841,0
netflix,2024-12-31,0.0,0.0,1.0,-0.01011737217292219,0
netflix,2025-01-02,1.0,0.0,0.0,-0.005149695752088235,0
netflix,2025-01-03,2.0,2.0,0.0,-0.006405549379055242,0
netflix,2025-01-08,0.0,0.0,3.0,-0.004765753056530597,0
netflix,2025-01-10,0.0,1.0,0.0,-0.04263999720982148,0
netflix,2025-01-13,0.0,0.0,2.0,0.0031037443187336144,1
netflix,2025-01-14,0.0,2.0,2.0,-0.014149821995014134,0
netflix,2025-01-15,1.0,4.0,0.0,0.02397390725043702,1
netflix,2025-01-16,1.0,1.0,1.0,-0.00694364296398331,0
netflix,2025-01-17,0.0,1.0,2.0,0.018673481439188455,1
netflix,2025-01-21,0.0,2.0,1.0,0.013494950960622587,1
netflix,2025-01-22,1.0,8.0,4.0,0.09694370144033515,1
netflix,2025-01-24,1.0,2.0,6.0,-0.007381717811896449,0
netflix,2025-01-27,0.0,1.0,3.0,-0.005830677533982254,0
netflix,2025-01-28,1.0,0.0,3.0,-6.17328686265406e-05,0
netflix,2025-01-29,3.0,1.0,2.0,0.006503202425403698,1
netflix,2025-01-30,0.0,0.0,1.0,-0.005019714826085875,0
netflix,2025-02-04,2.0,0.0,0.0,0.016272695605504817,1
netflix,2025-02-05,0.0,1.0,4.0,0.01632373105438978,1
netflix,2025-02-07,1.0,0.0,2.0,-0.0017229836293118916,0
netflix,2025-02-10,1.0,0.0,0.0,0.013482176293139192,1
netflix,2025-02-11,2.0,0.0,1.0,-0.01899567824041981,0
netflix,2025-02-12,1.0,0.0,1.0,0.019075907842534212,1
netflix,2025-02-14,0.0,0.0,1.0,0.014285884713613362,1
netflix,2025-02-18,1.0,0.0,2.0,-0.02149064852132443,0
netflix,2025-02-19,1.0,0.0,2.0,0.007221104064339956,1
netflix,2025-02-20,0.0,0.0,1.0,-0.018009563401439,0
netflix,2025-02-21,0.0,0.0,1.0,-0.020877675671914564,0
netflix,2025-02-25,0.0,1.0,0.0,-0.011360972818184711,0
netflix,2025-02-26,0.0,1.0,1.0,0.013118586480629135,1
netflix,2025-02-27,1.0,0.0,0.0,-0.027260964285932276,0
netflix,2025-02-28,1.0,0.0,0.0,0.018160663400752064,1
netflix,2025-03-04,1.0,1.0,0.0,-0.0011502465884218882,0
netflix,2025-03-05,0.0,0.0,2.0,0.018857025127032134,1
netflix,2025-03-06,0.0,0.0,2.0,-0.08533483935832642,0
netflix,2025-03-07,0.0,0.0,2.0,-0.016825544205909315,0
netflix,2025-03-10,2.0,1.0,1.0,-0.02741523838512827,0
netflix,2025-03-11,2.0,0.0,1.0,0.03279178376140024,1
netflix,2025-03-12,0.0,1.0,0.0,0.0274606387669194,1
netflix,2025-03-13,1.0,0.0,0.0,-0.03208725861238593,0
netflix,2025-03-14,0.0,0.0,1.0,0.03126371100366865,1
netflix,2025-03-17,0.0,2.0,1.0,0.03488019556781041,1
netflix,2025-03-19,0.0,1.0,0.0,0.03173187636872643,1
netflix,2025-03-21,0.0,0.0,1.0,0.009938528990125706,1
netflix,2025-03-24,4.0,2.0,1.0,0.012183832461800437,1
netflix,2025-03-25,1.0,2.0,2.0,0.026018826651087013,1
netflix,2025-03-26,1.0,0.0,0.0,-0.026702635268438857,0
netflix,2025-03-27,1.0,0.0,1.0,0.006253485948992443,1
netflix,2025-03-28,1.0,0.0,1.0,-0.043891797447661585,0
netflix,2025-03-31,0.0,2.0,1.0,-0.0014134457606365114,0
